status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
176946929155772_542892292561232,"Scrisoare adresată Primului Ministru Dacian Ciolos.

Ieri, i-am transmis domnului Prim Ministru Ciolos următoarea scrisoare:

Stimate domnule Prim Ministru,

În ultimele zile, diverse publicații și site-uri de știri au publicat articole care au la bază prezentarea pe care Ministrul pentru Consultare Publică și Dialog Social, d-na Violeta Alexandru, a făcut-o în data de 8 septembrie a.c., în cadrul Ședinței de Guvern, cu privire la  situaţia statistică şi principalele concluzii rezultând din evaluarea aplicării cadrului legal privitor la Situaţia asociaţiilor şi fundaţiilor de utilitate publică.

În legătură cu informațiile referitoare la Fundația Europeană Titulescu, doresc să folosesc această ocazie pentru a vă transmite punctul de vedere oficial al acesteia.

Fundaţia a fost constituită la 15 martie 1991 (sub egida Academiei Române și a Ministerului afacerilor externe), având drept scop omagierea personalităţii şi operei lui Nicolae Titulescu, eminent om politic, diplomat şi jurist, un veritabil simbol de gândire europeană. Printre membrii fondatori, se află prestigioase personalităţi ale vieţii politice şi academice româneşti şi din străinătate, printre care Thierry de Montbrial (preşedintele Institutului francez pentru Relaţii Internaţionale), Jean Paul Carteron (fondatorul Forumului Crans-Montana), Jean d'Ormesson (membru al Academiei Franceze), Kyra Hermes Bodart (Secretar al Academiei Diplomatice Internaţionale de la Paris), academicienii Dan Berindei şi Răzvan Theodorescu ş.a. În prezent, din Consiliul FET fac parte, printre alţii, dl. Ionel Valentin Vlad (Preşedintele Academiei Române, membru de drept), dl. Lazăr Comănescu (ministrul afacerilor externe, membru de drept), dl. Florin Georgescu (Vicepreşedinte, Prim-Viceguvernator al Băncii Naţionale a României).

În această primăvară, FET a sărbătorit 25 de ani de la constituire, în cadrul unui eveniment la care au participat mulți dintre cei care, în toată această perioadă, au sprijinit și s-au alăturat proiectelor noastre.

Fundației Europene Titulescu i-a fost atribuit statutul de fundație de utilitate publică la data de 13 iunie 2002 (prin urmare la mai bine de 11 ani de la înființare), prin HG nr. 602, în temeiul prevederilor art. 107 din Constituţia României, ale art. 38 alin. (1) şi ale art. 39 alin. (1) din Ordonanţa Guvernului nr. 26/2000 cu privire la asociaţii şi fundaţii.

În baza acestui statut, în temeiul prevederilor art. 107 din Constituţia României şi ale art. 17 din Legea nr. 213/1998 privind proprietatea publică şi regimul juridic al acesteia, la data de 30 iulie 2002, prin HG nr. 784/2002, Fundației i s-a dat spre folosință gratuită, pentru o perioadă de 49 de ani, un imobil situat în Șos. Kiseleff nr. 47 sector 1 București, proprietate publică a statului, aflat în administrarea Regiei Autonome Administraţia Patrimoniului Protocolului de Stat (R.A.A.P.P.S.). Contractul dintre Fundația Europeană Titulescu și Sucursala pentru Administrarea și Întreținerea Fondului Imobiliar SAIFI) a fost încheiat în septembrie 2002.

Pentru cei care nu cunosc acest aspect, trebuie să fac precizarea că această clădire a aparținut chiar lui Nicolae Titulescu, ceea ce a constituit rațiunea principală pentru care imobilul a fost atribuit Fundației care îi poartă numele și care și-a definit drept misiune principală redarea, către contemporaneitate, a operei marelui diplomat și omagierea personalității sale. Cu siguranță că sunt mulți aceia care au uitat (sau chiar nu știu) că Fundația a fost aceea care, în 1992, a efectuat demersurile pentru repatrierea osemintelor lui Nicolae Titulescu și înmormântarea lor, conform dorinței sale testamentare, la Brașov.

În privința obiectelor de inventar și a valorii lor, ele se află exclusiv în proprietatea administratorului, ele neaparținând fundației. Nu cunosc criteriile după care le-a fost stabilită valoarea contabilă, ele fiind în sarcina SAIFI.

Conform art. 4 din Hotărârea de Guvern nr. 784/2002, ""cheltuielile aferente consumului de energie electrică, gaze, apă, canal, telefon, precum şi celelalte cheltuieli privind folosinţa şi întreţinerea bunurilor prevăzute la art. 1, inclusiv impozitele şi taxele locale corespunzătoare, se suportă de Fundaţia Europeană ""Titulescu"", pe bază de contract de prestări de servicii încheiat cu Regia Autonomă ""Administraţia Patrimoniului Protocolului de Stat"".

În ceea ce privește susținerea, din fonduri publice, a activităților Fundației, doresc să vă aduc la cunoștință că, de la 1 ianuarie 2005 și până în prezent, Fundația Europeană Titulescu nu a mai beneficiat de niciun fel de fonduri de la bugetul de stat, resursele financiare fiind constituite exclusiv din sponsorizări, activități economice, redirecționări ale impozitului pe profit/venituri din partea unor persoane fizice și cotizații anuale. Detaliile privind sursele de finanțare ale Fundației sunt disponibile la Ministerul Finanțelor Publice.

Urmare acestei situații care a avut efecte semnificative asupra bunei funcționări a Fundației, au existat unele perioade în care s-au acumulat datorii către Sucursala pentru Administrarea și Întreținerea Fondului Imobiliar din cadrul R.A.A.P.P.S., însă Fundația Europeană Titulescu a achitat integral aceste datorii (inclusiv dobânzi și penalități), ultima tranșă fiind virată la data de 29 august 2016, în prezent neavând niciun fel de debite către bugetul de stat sau furnizori. Probabil că d-na ministru Alexandru, la momentul prezentării situației în plenul Ședinței de Guvern, nu a beneficiat de datele actualizate.

În privința obligației legale, pentru fundațiile cu statut de utilitate publică, de a depune anual raportul de activitate și extrasul situației financiare, doresc să vă informez că Fundația Europeană Titulescu a depus aceste documente atât la Monitorul Oficial cât și la Ministerul Justiției, excepție făcând anii 2007, 2008, 2010 și 2011. Actuala conducere a Fundației nu a avut cunoștință de încălcarea acestei prevederi pentru anii respectivi, aflând această informație numai după publicarea situației respective de către Ministrul pentru Consultare Publică și Dialog Social.

Cu toate acestea, rapoartele de activitate ale Fundației Europene Titulescu pentru perioada 2001 – 2016 sunt publice, ele aflându-se pe site-ul FET (http://www.titulescu.eu/category/fundatia-europeana-titulescu/rapoarte-de-activitate). Profit de această ocazie pentru a vi le transmite, în totalitate, în anexă (289 de pagini).

Personal, salut demersul inițiat de d-na ministru Violeta Alexandru în privința evaluării activității asociațiilor și fundațiilor căci, în acest fel, consider că va exista o situație mult mai clară a programelor desfășurate de societatea civilă. M-aș bucura dacă, la finalul acestei analize, vor fi stabilite și criterii după care s-ar putea acorda o susținere mai mare, din partea autorităților, pentru acele organizații care își îndeplinesc cu adevărat misiunea de a-și aduce o contribuție reală la viața comunității.

În speranța că punctul nostru de vedere va clarifica unele informații care au fost preluate și interpretate – din ignoranță sau cu rea credință – în spațiul public, vă asigur, stimate domnule Prim Ministru, de toată deschiderea mea pentru un dialog autentic și de substanță pe tema relației cu societatea civilă.

Cu aleasă considerație,

Adrian NĂSTASE",Timeline Photos,photo,https://www.facebook.com/Nastase.Adrian/photos/a.185528271630971.1073741852.176946929155772/542892292561232/?type=3,2016-09-13 08:38:49,616,27,37,588,19,7,0,1,1
176946929155772_542536795930115,"Tehnocratia- sfarsitul unei iluzii.

De fiecare data cand lucrurile sunt complicate in tară, apare cineva care lansează ideea unui salvator. Deobicei, cineva de la Banca Nationala sau cineva conectat cu străinătatea. In ultimul timp, pentru ca acelei persoane nu i se putea spune Deus ex machina, i s-a spus ""tehnocrat"". Aceasta iluzie este intarita si de nemultumirea fata de partide. Pentru ca  ""deusii"" interni s-au cam dezumflat, in ultimii 25 de ani, s-a intărit iluzia ""salvatorului"" din afara. La Tarom, la CFR, la guvern. Mai intai, ca diriginte, apoi sub sloganul ""sa ne luam tara inapoi"". De fapt, sa-i ajutam sa ne ia tara. Chiar, spre exemplu, de ce credeti ca pretul graului este tinut acum sub 120 euro tona?

Experimentul guvernului tehnocrat se apropie de final. Se dovedeste ca tehnocratii nu sunt neaparat competenti si nu in mod necesar apolitici. Este cert insa ca ei nu pot fi lideri ai unei miscari de aparare a intereselor romanesti, in conditiile in care ei petrec un an sabatic in Romania si apoi se vor intoarce la Bruxelles, dupa ce au ""dovedit"" aici ca merita acest lucru. Tehnocratii de linia a doua vor intra pe listele unor partide. Oricum, inainte de alegeri, ei vor pune oua in cuiburile ministerelor si ale unor institutii. Spre exemplu la Muzeul Taranului Roman.

S-a consumat deci si iluzia guvernului tehnocrat. Asa cum s-a consumat iluzia alegerilor uninominale. Ce experiment va urma? O dictatura ""luminata"", inspirata din formula cezarismului interbelic?",Timeline Photos,photo,https://www.facebook.com/Nastase.Adrian/photos/a.185528271630971.1073741852.176946929155772/542536795930115/?type=3,2016-09-12 08:44:12,543,30,49,518,8,9,2,4,2
176946929155772_542223839294744,"Atacul terorist asupra Turnurilor gemene. Au trecut 15 ani. Totusi, imi aduc aminte foarte bine. Eram atunci in biroul meu de la guvern. Televizorul mergea fără sunet. Din senin, intră sefa mea de cabinet. ""Ati văzut?"". Priveam imaginile de la televizor si aveam impresia că urmăresc scene dintr-un science fiction. Incet-incet, am inceput să ne trezim. Nu stiam amploarea atacurilor. Nu stiam dacă nu va fi vizată si România – ambasada americană de la Bucuresti, obiective strategice de la noi. Au urmat celule de criză, sedintă CSAT, etc. Peste o lună si ceva eram invitat la Washington. Gradul de alertă era incă ridicat. Am văzut ruinele de la ""Ground Zero"". Totul se va schimba. Din punct de vedere geo-strategic, timpul ar trebui măsurat cu un nou etalon – inainte si după 11 septembrie.",Timeline Photos,photo,https://www.facebook.com/Nastase.Adrian/photos/a.185528271630971.1073741852.176946929155772/542223839294744/?type=3,2016-09-11 15:03:38,1144,35,33,1016,6,3,1,115,3
176946929155772_541877675996027,"Syria, between love and hate

Ministrul rus de externe Serghei Lavrov si secretarul de stat american John Kerry au anuntat impreuna, vineri noaptea, un acord intre SUA si Rusia in privinta Siriei.

Potrivit sefului diplomatiei americane, cele doua puteri spera ca planul agreat va aduce pacea in Siria si va reduce suferintele sirienilor. Kerry afirma ca SUA au facut concesii tinand cont de posibilitatea ca Rusia sa il convinga pe presedintele sirian Bashar al-Assad sa se aseze la masa negocierilor de pace.

In plus, daca violentele vor scadea in intensitate, Rusia si SUA ar putea colabora pentru a planifica lovituri militare strategice  impotriva gruparilor teroriste. Pentru moment, a anuntat John Kerry, Statele Unite si Rusia fac apel la toate partile in conflict sa se angajeze la o incetare a ostilitatilor incepand de la apusul soarelui, in data de 12 septembrie. Astfel ar putea fi posibila trimiterea de ajutoare umanitare in zone greu accesibile, inclusiv orasul Alep. In acest scop, toate fortele militare ar trebui sa se retraga de pe un drum de acces catre Alep. Apoi, in termen de sapte zile, Rusia si SUA vor stabili un centru pentru un grup comun de implementare, in vederea luptei impotriva gruparilor Stat Islamic si al-Nusra. Fortele de opozitie ar trebui sa se distanteze cat mai mult de aceste formatiuni extremiste.

Pe de altă parte, ministrul rus de externe a aratat că acest acord ar permite ""implementarea unei coordonari eficiente a luptei antiteroriste, in special la Alep, si ar permite sustinerea armistitiului. Toate acestea creeaza conditiile pentru o revenire la procesul politic"".Seful diplomatiei ruse a explicat ca in cadrul centrului comun, mentionat si de omologul sau american, ""militarii si reprezentantii serviciilor secrete ruse si americane se vor ocupa de chestiunile practice: diferentierea teroristilor de opozitia moderata"".

""Ne vom pune de acord si asupra loviturilor impotriva teroristilor realizate de fortele aeriene ruse si americane. Am cazut de acord asupra zonelor unde aceste lovituri vor fi coordonate"", a mai spus Serghei Lavrov.

***

Interesant, nu? Iată cum evoluează relatiile bilaterale ruso-americane. Cu suisuri si coborâsuri, in functie de interese. Singurii ""intransigenti"" in relatia cu Rusia, pentru a apăra ""valorile si principiile occidentale"", suntem noi…",Timeline Photos,photo,https://www.facebook.com/Nastase.Adrian/photos/a.185528271630971.1073741852.176946929155772/541877675996027/?type=3,2016-09-10 18:44:17,317,24,23,307,2,5,1,1,1
176946929155772_541733109343817,,Ioan Aurel Pop- Congresul Istoricilor Romani Cluj 2016,video,https://www.youtube.com/attribution_link?a=sevVN3giaaU&u=%2Fwatch%3Fv%3D58HwCULUoAE%26feature%3Dshare,2016-09-10 10:08:28,233,6,13,224,9,0,0,0,0
176946929155772_541414309375697,"Ceasurile lui Titulescu
Nicolae Titulescu a fost ministru de externe al României in perioada 1927-1928 si, ulterior, intre 1932-1936. Dar, incă din anul 1921, el a fost delegat permanent al României la Liga Natiunilor, la Geneva. De altfel, in 1930 si 1931, el a fost ales, in două rânduri, presedinte al Consiliului Ligii.

Există multe legende in legătură cu el, cu legăturile sale exceptionale cu oameni politici si diplomati străini dar si in legătură cu standardele sale ridicate in ceea ce priveste modalitatea de reprezentare – la Geneva, la hotel, inchiria un intreg etaj pentru delegatia română sau atasa un vagon special la trenul care il ducea in Elvetia. Nu cred că el ar fi călătorit vreodată la clasa a 2-a.

Una dintre legende este legată de ceasurile LeCoultre – Reverso, pe care el le oferea partenerilor de negocieri (""pentru a se pune la aceeasi oră""). Ceasurile Reverso – inventate pentru jocul de golf – au un cadran reversibil si, pe acesta, Titulescu isi grava semnătura.",Timeline Photos,photo,https://www.facebook.com/Nastase.Adrian/photos/a.185528271630971.1073741852.176946929155772/541414309375697/?type=3,2016-09-09 12:40:01,501,8,25,485,7,9,0,0,0
176946929155772_540963926087402,"Autarhia ca formă de stat. 
România nu mai are lideri politici. Are sefi de institutii sau de partide si administratori. Premierul Ciolos, spre exemplu, este definit ca tehnocrat, probabil specialist in management agricol. La guvern, el functionează insă ca administrator (in termeni agricoli, arendas), nu ca lider politic. De aceea, acceptând formule populiste, el coboară in Vietnam dintr-un avion de linie turcesc, de aceea călătoreste cu o echipă guvernamentală la clasa economic.  Ce fel de imagine va proiecta in exterior? Evident, una umilă. Nu una de fortă, de autoritate, de lider. Necesară in apărarea si negocierea intereselor noastre intr-o lume tot mai conflictuală. Este  grav si  faptul că noi nu mai participăm nici la negocierea problemelor regionale. Vecinii nostri isi sustin interesele (politice, economice, energetice), se bat pentru ele in noua etapă geostrategică - Bulgaria, Ungaria, Polonia, Turcia, Grecia, Ucraina. Nu suntem capabili să reactionăm la mesaje, doctrine, pozitii adverse din vecinătatea noastră. Nu luăm in calcul, spre exemplu, intentiile unora de a crea in zona noastră trei state mai mici in următorul deceniu.

Perspectivele pentru Romania par a fi sumbre. In Statele Unite devine aproape o certitudine victoria lui Trump (cred ca va avea cel putin un milion de voturi mai mult decat Hillary Clinton, ca urmare a spiralei tacerii), iar acest lucru va avea consecinte nu doar geopolitice asupra Europei, ci si electorale, prin contagiunea populismului. Merkel ar putea recastiga alegerile din Germania, dar steaua sa in Europa se stinge. In Franta, socialistii sunt prea divizati pentru a castiga un nou mandat. Sarkozy sau Le Pen sunt oricum orientati spre conciliatorism cu Rusia. Romania se apropie de situatia din 1940, de izolare internationala. Nu stiu daca chestiunea frontierelor va fi repusa in discutie, dar se va putea apăra eficient România  - in perspectiva anului 2018! - daca se va pune problema regionalizarii/federalizarii, agreate - se pare - deopotriva de SUA lui Trump, Rusia si Germania, ca solutie la o ""problema etnica"" revigorata de la Budapesta?

Poate că astfel de scenarii se vor dovedi doar forme de intoxicare dar mai are România think tankuri capabile să participe la războaiele de gherilă politică si conceptuală? In ultimul timp, am inceput să regret Asociatia de drept international si relatii internationale (ADIRI), finantată si sprijinită, inainte de 1989, de MAE, asociatie care avea o activitate extrem de bogată. Acum, finantarea ONG-urilor este făcută in România aproape exclusiv de Fundatia Soros. Pentru obiective discutabile.

 Regimul politic, in tară, nu mai indeplineste conditiile  pentru a fi denumit unul autentic democratic. Este unul hibrid, deoarece ""accontability"" si ""responsability"" nu functioneaza nici in interiorul autoritatilor/puterilor in stat, nici intre acestea. Nu este nici o ""democratie controlata"" dupa model rusesc, deoarece la Kremlin există un autentic centru de comanda politică a tarii. Data fiind abandonarea fatisă a ethos-ului suveranist, prima data atat de pregnant de la sfarsitul regimului Gheorghiu-Dej, si interiorizarea in randul establishment-ului cu putere de decizie a unuia de tip ""neo-fanariot"", Romania este asemenea unui automobil care se misca doar prin propria inertie si este condus doar cu frana, fara motor. Urmeaza, inevitabil, o decelerare tot mai mare, pana la oprire (colaps).

Partidele politice au devenit ""cutii goale"" care nu mai rezoneaza la cerintele reale ale cetatenilor. PSD, spre exemplu, ezită să-si afirme identitatea social-democrata, inclusiv in chestiunile esentiale ale egalitatii si justitiei sociale (PIB-ul Romaniei creste dar si mai rapid creste inegalitatea sociala).  La nivelul partidelor, preocuparea esentiala a conducerii pare a fi sa cumpere timp, in speranta cumpararii libertatii.

 Ideea crearii unui partid cu mesaj suveranist si mai puternic egalitar este corecta, insa asa cum arata proiectul PRU, el este necredibil, in opinia mea, si lipsit de sanse sa coaguleze un electorat stabil. Inclusiv din cauza modalitătii de racolare a unor membri oportunisti. Acest proiect trebuia pornit de UNPR inca de acum un an, eventual cu un leadership ""proaspăt"".

Din păcate, România functionează acum ca o colonie dezorientată căreia i s-a stricat pilotul automat, in conditiile in care nu se stie incă  cine va câstiga alegerile in SUA sau ce se va intâmpla in lunile viitoare la Bruxelles. In conditiile in care nu intelegem că geografia este la fel de importantă ca si istoria.

Capitalul intern este măcinat in procese. Birocratia administrativă si procedurile judecătoresti sufocă orice incercare de a lansa mici initiative private. După domeniul bancar, cel al IT-ului, cel al constructiilor, si domeniul asugurarilor  este acaparat de firmele străine, cu ajutorul ASF-ului. Contributia industriei la PIB a devenit nesemnificativă. Cresterea economică se bazează pe consum. Lucrurile acestea nu pot dura. Nu mai există firme românesti capabile să participe la licitatii internationale, nici măcar in Africa. Imaginea unor institutii, altădată larg acceptate, este afectată de campanii de presă - BNR, BOR, politie, armată, (unele) servicii de informatii.

Spălatul rufelor a inceput să arunce stropi murdari si asupra unor lideri politici străini. Nu vor avea consecinte aceste lucruri asupra imaginii externe a României? Sau asupra stării psihologice a românilor? Eu cred că da.

România se auto-izolează tot mai mult, intr-un prezent caracterizat de haos, ură, răzbunări, măcinarea valorilor sale si a liderilor săi - atâti câti au fost - iar Presedintele devine conducătorul unei forme noi de stat -  AUTARHIA POLITICA -, privind, cu detasare, descresterea statului. Si, ca să folosesc un proverb chinezesc, ""Zuo shan guan hu dou"" (el stă pe munte sus si  priveste in vale tigrii luptându-se). Din păcate, din ce in ce mai des, tigrii devin tigri de carton iar miza luptei lor nu mai are legătură cu ce se intâmplă in jur...",Timeline Photos,photo,https://www.facebook.com/Nastase.Adrian/photos/a.185528271630971.1073741852.176946929155772/540963926087402/?type=3,2016-09-08 09:15:44,1296,92,222,1221,23,16,3,24,9
176946929155772_540137049503423,,Vânătoarea de pokemoni,link,http://www.adriannastase.ro/2016/09/06/vanatoarea-de-pokemoni/#.V85gz6I6ph8.facebook,2016-09-06 09:23:49,971,35,63,926,19,5,14,5,2
176946929155772_539779829539145,,Miza intamplarilor de la Ministerul de interne,link,http://www.adriannastase.ro/2016/09/05/miza-intamplarilor-de-la-ministerul-de-interne/#.V80S7HVPFco.facebook,2016-09-05 09:39:03,944,33,88,875,7,22,1,8,31
176946929155772_539363586247436,,"Din nou, pentru teparul Sima",link,http://www.adriannastase.ro/2016/09/04/din-nou-pentru-teparul-sima/#.V8ut5AncxVc.facebook,2016-09-04 08:15:45,959,30,49,929,13,4,9,2,2
176946929155772_538998832950578,,"Prinsoare cu ""teparul"" Sima",link,http://www.adriannastase.ro/2016/09/03/prinsoare-cu-teparul-sima/#.V8pqcmC1if8.facebook,2016-09-03 09:15:34,822,59,73,735,4,6,44,2,31
176946929155772_538614899655638,,Sunt ingrijorat de sănătatea lui Banciu,link,http://www.adriannastase.ro/2016/09/02/sunt-ingrijorat-de-sanatatea-lui-banciu/#.V8kcxTEi2Jc.facebook,2016-09-02 09:31:54,2077,135,105,1763,26,14,273,0,1
176946929155772_537993703051091,,60 de ani de la a doua restituire partiala a Tezaurului de la Moscova,link,http://www.adriannastase.ro/2016/08/31/60-de-ani-de-la-a-doua-restituire-partiala-a-tezaurului-de-la-moscova/#.V8cHkYQkYHg.facebook,2016-08-31 19:36:54,665,11,75,618,10,29,1,3,4
176946929155772_537610063089455,,"Dezbatere, joi, la Fundatia Europeană Titulescu",link,http://www.adriannastase.ro/2016/08/30/dezbatere-joi-la-fundatia-europeana-titulescu/#.V8WrEmyuJUI.facebook,2016-08-30 18:49:55,515,8,16,503,12,0,0,0,0
176946929155772_537229543127507,,Ambasadorul american la Chisinău,link,http://www.adriannastase.ro/2016/08/29/ambasadorul-american-la-chisinau/#.V8RXNHcVng8.facebook,2016-08-29 18:39:55,1271,60,106,1192,7,14,5,12,41
176946929155772_537142763136185,,Reuniunea anuala a diplomatiei române,link,http://www.adriannastase.ro/2016/08/29/reuniunea-anuala-a-diplomatiei-romane-2/#.V8QNRyraH_E.facebook,2016-08-29 13:24:27,768,27,29,751,15,2,0,0,0
176946929155772_536758869841241,,Cum va arata viitorul Parlament?,link,http://www.adriannastase.ro/2016/08/28/cum-va-arata-viitorul-parlament/#.V8KNRT3Xyko.facebook,2016-08-28 10:06:04,1316,61,72,1272,22,7,0,11,4
176946929155772_536412059875922,,M-am intors,link,http://www.adriannastase.ro/2016/08/27/m-am-intors/#.V8GG8ylvrRk.facebook,2016-08-27 15:26:57,4539,192,127,4420,85,14,10,0,10
176946929155772_535985049918623,"Sărbătoarea Sfintilor Mucenici Adrian si Natalia

Astăzi sunt sărbătoriti Sfintii Mucenici Adrian si Natalia. Sunt multi cei ce le poartă numele si cunosc jertfele pe care cei doi le-au făcut in numele credintei lor. Tuturor le spun La multi Ani!",Timeline Photos,photo,https://www.facebook.com/Nastase.Adrian/photos/a.185528271630971.1073741852.176946929155772/535985049918623/?type=3,2016-08-26 09:36:58,2129,418,230,2069,60,0,0,0,0
